key,zh-TW,zh-CN,en
"admin_refresh_vip_avatars.text111","🔄 **開始批量刷新 VIP 頭像**

","",""
"admin_refresh_vip_avatars.text112","❌ **刷新失敗**

","",""
"admin_refresh_vip_avatars.text113","處理過程中發生錯誤，請查看日誌。

","",""
"admin_test_refresh.text114","❌ **權限不足**

此命令僅限超級管理員使用。","",""
"admin_test_refresh.text115","🔄 開始刷新您的對話歷史...","",""
"admin_test_refresh.text116","❌ **刷新失敗**

","",""
"appeal.text117","❌ 用戶不存在，請先使用 /start 註冊。","",""
"appeal.text118","待審核","",""
"appeal.text119","❌ 用戶不存在，請先使用 /start 註冊。","",""
"appeal.text120","❌ 用戶不存在，請先使用 /start 註冊。","",""
"appeal.text121","待審核","",""
"appeal.text122","已批准","",""
"appeal.text123","已拒絕","",""
"appeal.text124","審核時間：","",""
"appeal.text125","備註：","",""
"block.text126","⚠️ 請長按你要封鎖的訊息後回覆指令

","",""
"block.text127","**操作步驟：**
","",""
"block.text128","1️⃣ 長按對方的訊息
","",""
"block.text129","2️⃣ 選擇「回覆」
","",""
"block.text130","3️⃣ 輸入 /block

","",""
"block.text131","💡 這樣可以準確指定要封鎖的對象。","",""
"block.text132","⚠️ 無法識別對話對象

","",""
"block.text133","請確保回覆的是對方發送的訊息（帶有 # 標識符）。","",""
"block.text134","⚠️ 找不到此對話

","",""
"block.text135","對話可能已結束或不存在。","",""
"block.text136","⚠️ 對話資訊錯誤。","",""
"block.text137","你們將不會再被匹配到對方的漂流瓶。

","",""
"block.text138","💡 使用 /catch 撿新的漂流瓶開始新對話。","",""
"broadcast.text139","❌ 使用方法錯誤

","",""
"broadcast.text140","**正確格式：**
","",""
"broadcast.text141","**示例：**
","",""
"broadcast.text142","❌ 創建廣播失敗，請稍後再試。","",""
"broadcast.text143","❌ 使用方法錯誤

","",""
"broadcast.text144","**正確格式：**
","",""
"broadcast.text145","❌ 創建廣播失敗。","",""
"broadcast.text146","❌ 使用方法錯誤

","",""
"broadcast.text147","**正確格式：**
","",""
"broadcast.text148","❌ 創建廣播失敗。","",""
"broadcast.text149","✅ 廣播隊列處理完成

","",""
"broadcast.text150","目前沒有待處理或卡住的廣播。

","",""
"broadcast.text151","使用 /broadcast_status 查看所有廣播記錄。","",""
"broadcast.text152","待處理","",""
"broadcast.text153","卡住（重試中）","",""
"broadcast.text154","❌ 使用方法錯誤

","",""
"broadcast.text155","**正確格式：**
","",""
"broadcast.text156","/broadcast_cancel <廣播ID>

","",""
"broadcast.text157","**示例：**
","",""
"broadcast.text158","❌ 廣播 ID 必須是數字","",""
"broadcast.text159","❌ 找不到該廣播記錄","",""
"broadcast.text160","📊 目前沒有廣播記錄","",""
"broadcast.text161","📊 最近 5 條廣播記錄

","",""
"broadcast.text162","💡 使用 /broadcast_status <id> 查看詳細信息","",""
"broadcast.text163","❌ 廣播 ID 必須是數字","",""
"broadcast.text164","❌ 找不到該廣播記錄","",""
"broadcast.text165","✅ 沒有需要清理的廣播

","",""
"broadcast.text166","所有廣播狀態正常。","",""
"broadcast.text167","這些廣播將被標記為「失敗」狀態
","",""
"broadcast.text168","不會再被自動處理或重新發送

","",""
"broadcast.text169","**確認清理？**
","",""
"broadcast.text170","使用 `/broadcast_cleanup confirm` 確認","",""
"broadcast.text171","❌ 使用方法錯誤

","",""
"broadcast.text172","**正確格式：**
","",""
"broadcast.text173","**過濾器格式：**
","",""
"broadcast.text174","**示例：**
","",""
"catch.text175","😔 目前沒有適合你的漂流瓶

","",""
"catch.text176","💡 提示：
","",""
"catch.text177","• 稍後再試
","",""
"catch.text178","• 或者自己丟一個瓶子：/throw","",""
"catch.text179","匿名","",""
"catch.text180","未設定","",""
"catch.text181","❌ 建立對話失敗，請稍後再試。","",""
"catch.text182","❌ 這個瓶子已經被其他人撿走了，請試試其他瓶子！","",""
"catch.text183","未設定","",""
"catch.text184","未設定","",""
"catch.text185","未設定","",""
"catch.text186","匿名用戶","",""
"catch.text187","未設定","",""
"catch.text188","未設定","",""
"catch.text189","未設定","",""
"catch.text190","💬 翻譯服務暫時有問題，已使用備援翻譯
","",""
"catch.text191","⚠️ 翻譯服務暫時無法使用，以下為原文
","",""
"catch.text192","未設定","",""
"catch.text193","💬 回覆訊息","",""
"catch.text194","💬 回覆訊息","",""
"catch.text195","📊 查看所有對話","",""
"catch.text196","匿名用戶","",""
"catch.text197","未設定","",""
"catch.text198","♂️ 男","",""
"catch.text199","♀️ 女","",""
"catch.text200","未設定","",""
"catch.text201","未知","",""
"catch.text202","💬 回覆訊息","",""
"catch.text203","📊 查看所有對話","",""
"chats.text204","未知用戶","",""
"chats.text205","無訊息","",""
"chats.text206","剛剛","",""
"conversation_actions.text207","❌ 對話不存在","",""
"conversation_actions.text208","❌ 對話資訊錯誤","",""
"conversation_actions.text209","❌ 用戶不存在","",""
"conversation_actions.text210","匿名","",""
"conversation_actions.text211","👤 **對方的資料卡**

","",""
"conversation_actions.text212","男","",""
"conversation_actions.text213","女","",""
"conversation_actions.text214","💬 回覆訊息","",""
"conversation_actions.text215","❌ 發生錯誤","",""
"conversation_actions.text216","🚫 **確定要封鎖這位用戶嗎？**

","",""
"conversation_actions.text217","封鎖後：
","",""
"conversation_actions.text218","• 對方無法再向你發送訊息
","",""
"conversation_actions.text219","• 你們不會再被匹配到
","",""
"conversation_actions.text220","• 此對話將立即結束

","",""
"conversation_actions.text221","💡 這不會舉報對方，只是不想再聊天。","",""
"conversation_actions.text222","✅ 確定封鎖","",""
"conversation_actions.cancel","❌ 取消","",""
"conversation_actions.text223","❌ 發生錯誤","",""
"conversation_actions.text224","🚨 **確定要舉報這位用戶嗎？**

","",""
"conversation_actions.text225","舉報後：
","",""
"conversation_actions.text226","• 我們會審核此用戶的行為
","",""
"conversation_actions.text227","• 多次被舉報會導致封禁
","",""
"conversation_actions.text228","• 此對話將立即結束
","",""
"conversation_actions.text229","• 24小時內不會再匹配到此用戶

","",""
"conversation_actions.text230","💡 請確保對方確實有不當行為。","",""
"conversation_actions.text231","✅ 確定舉報","",""
"conversation_actions.text232","❌ 發生錯誤","",""
"conversation_actions.text233","❌ 對話不存在","",""
"conversation_actions.text234","❌ 對話資訊錯誤","",""
"conversation_actions.text235","✅ 已封鎖","",""
"conversation_actions.text236","✅ **已封鎖此用戶**

","",""
"conversation_actions.text237","對方已被封鎖，你們不會再被匹配到。

","",""
"conversation_actions.text238","💡 想要開始新的對話嗎？
","",""
"conversation_actions.text239","• 使用 /catch 撿起新的漂流瓶","",""
"conversation_actions.text240","💬 **對話已結束**

","",""
"conversation_actions.text241","對方結束了這個對話。

","",""
"conversation_actions.text242","💡 想要開始新的對話嗎？
","",""
"conversation_actions.text243","• 使用 /catch 撿起新的漂流瓶","",""
"conversation_actions.text244","❌ 發生錯誤","",""
"conversation_actions.text245","❌ 對話不存在","",""
"conversation_actions.text246","❌ 對話資訊錯誤","",""
"conversation_actions.text247","✅ 已舉報","",""
"conversation_actions.text248","✅ **已舉報此用戶**

","",""
"conversation_actions.text249","感謝你的舉報，我們會盡快審核。

","",""
"conversation_actions.text250","💡 想要開始新的對話嗎？
","",""
"conversation_actions.text251","• 使用 /catch 撿起新的漂流瓶","",""
"conversation_actions.text252","💬 **對話已結束**

","",""
"conversation_actions.text253","對方結束了這個對話。

","",""
"conversation_actions.text254","💡 想要開始新的對話嗎？
","",""
"conversation_actions.text255","• 使用 /catch 撿起新的漂流瓶","",""
"conversation_actions.text256","❌ 發生錯誤","",""
"conversation_actions.text257","已取消","",""
"conversation_actions.text258","❌ 發生錯誤","",""
"country_confirmation.text259","✅ 正確","",""
"country_confirmation.text260","❌ 不正確","",""
"country_confirmation.text261","🇺🇳 使用聯合國旗","",""
"country_confirmation.text262","❌ 用戶不存在","",""
"country_confirmation.text263","✅ 已確認！","",""
"country_confirmation.text264","❌ 確認失敗","",""
"country_confirmation.text265","❌ 發生錯誤","",""
"country_confirmation.text266","❌ 用戶不存在","",""
"country_confirmation.text267","❌ 設置失敗","",""
"country_confirmation.text268","❌ 發生錯誤","",""
"country_selection.text269","🇹🇼 台灣","",""
"country_selection.text270","🇨🇳 中國","",""
"country_selection.text271","🇭🇰 香港","",""
"country_selection.text272","🇺🇸 美國","",""
"country_selection.text273","🇯🇵 日本","",""
"country_selection.text274","🇰🇷 韓國","",""
"country_selection.text275","🇬🇧 英國","",""
"country_selection.text276","🇫🇷 法國","",""
"country_selection.text277","🇩🇪 德國","",""
"country_selection.text278","🇸🇬 新加坡","",""
"country_selection.text279","🇲🇾 馬來西亞","",""
"country_selection.text280","🇹🇭 泰國","",""
"country_selection.text281","🇦🇺 澳洲","",""
"country_selection.text282","🇨🇦 加拿大","",""
"country_selection.text283","🇳🇿 紐西蘭","",""
"country_selection.text284","🇺🇳 聯合國旗","",""
"dev.text285","❌ 此命令在生產環境中不可用。

This command is not available in production.","",""
"dev.text286","✅ 開發模式：數據已重置

","",""
"dev.text287","你的所有數據已被刪除。

","",""
"dev.text288","💡 現在可以重新開始測試註冊流程。

","",""
"dev.text289","🔄 重新註冊：/start
","",""
"dev.text290","或使用：/dev_restart（自動開始註冊）

","",""
"dev.text291","⚠️ 注意：此功能僅在 Staging 環境可用。","",""
"dev.text292","❌ 此命令在生產環境中不可用。

This command is not available in production.","",""
"dev.text293","❌ 用戶不存在","",""
"dev.text294","🔧 開發模式：用戶信息

","",""
"dev.text295","未設置","",""
"dev.text296","是","",""
"dev.text297","否","",""
"dev.text298","未生成","",""
"dev.text299","無","",""
"dev.text300","❌ 獲取信息失敗","",""
"dev.text301","❌ 此命令在生產環境中不可用。

This command is not available in production.","",""
"dev.text302","❌ 此命令在生產環境中不可用。

This command is not available in production.","",""
"dev.text303","測試用戶","",""
"dev.text304","✅ 開發模式：跳過註冊

","",""
"dev.text305","已自動完成註冊流程。

","",""
"dev.text306","💡 現在可以直接測試核心功能：
","",""
"dev.text307","• /throw - 丟漂流瓶
","",""
"dev.text308","• /catch - 撿漂流瓶
","",""
"dev.text309","• /stats - 查看統計

","",""
"dev.text310","⚠️ 此功能僅在 Staging 環境可用。","",""
"dev.text311","❌ 跳過失敗","",""
"draft.text312","✅ 繼續編輯草稿","",""
"draft.text313","⚠️ 草稿不存在或已過期","",""
"draft.text314","要直接發送這個草稿嗎？","",""
"draft.text315","✅ 發送草稿","",""
"draft.text316","✏️ 修改內容","",""
"draft.text317","🗑️ 刪除草稿","",""
"draft.text318","❌ 發生錯誤","",""
"draft.text319","✅ 草稿已刪除","",""
"draft.text320","❌ 用戶不存在","",""
"draft.text321","🍾 丟漂流瓶

你想要尋找什麼樣的聊天對象？","",""
"draft.text322","👨 男生","",""
"draft.text323","👩 女生","",""
"draft.text324","🌈 任何人都可以","",""
"draft.text325","⚙️ 進階篩選（MBTI/星座）","",""
"draft.text326","🍾 丟漂流瓶

","",""
"draft.text327","你想要尋找什麼樣的聊天對象？

","",""
"draft.text328","💡 升級 VIP 可使用進階篩選（MBTI/星座）：/vip","",""
"draft.text329","👨 男生","",""
"draft.text330","👩 女生","",""
"draft.text331","🌈 任何人都可以","",""
"draft.text332","❌ 發生錯誤","",""
"draft.text333","✅ 開始新的漂流瓶","",""
"draft.text334","❌ 用戶不存在","",""
"draft.text335","🍾 丟漂流瓶

你想要尋找什麼樣的聊天對象？","",""
"draft.text336","👨 男生","",""
"draft.text337","👩 女生","",""
"draft.text338","🌈 任何人都可以","",""
"draft.text339","⚙️ 進階篩選（MBTI/星座）","",""
"draft.text340","🍾 丟漂流瓶

","",""
"draft.text341","你想要尋找什麼樣的聊天對象？

","",""
"draft.text342","💡 升級 VIP 可使用進階篩選（MBTI/星座）：/vip","",""
"draft.text343","👨 男生","",""
"draft.text344","👩 女生","",""
"draft.text345","🌈 任何人都可以","",""
"draft.text346","❌ 發生錯誤","",""
"draft.text347","⚠️ 草稿不存在或已過期","",""
"draft.text348","✅ 正在發送...","",""
"draft.text349","❌ 用戶不存在","",""
"draft.text350","❌ 發生錯誤","",""
"draft.text351","✏️ 請輸入新的內容","",""
"draft.text352","✏️ 請輸入新的漂流瓶內容：

","",""
"draft.text353","💡 提示：
","",""
"draft.text354","• 最短 5 個字符
","",""
"draft.text355","• 最多 250 個字符
","",""
"draft.text356","• 不允許連結、圖片、多媒體
","",""
"draft.text357","• 不要包含個人聯絡方式
","",""
"draft.text358","• 友善、尊重的內容更容易被撿到哦～","",""
"draft.text359","❌ 發生錯誤","",""
"edit_profile.text360","男生","",""
"edit_profile.text361","女生","",""
"edit_profile.text362","任何人","",""
"edit_profile.text363","女生（默認）","",""
"edit_profile.text364","男生（默認）","",""
"edit_profile.text365","男","",""
"edit_profile.text366","女","",""
"edit_profile.text367","📝 編輯暱稱","",""
"edit_profile.text368","📖 編輯簡介","",""
"edit_profile.text369","🌍 編輯地區","",""
"edit_profile.text370","🏷️ 編輯興趣","",""
"edit_profile.text371","💝 匹配偏好","",""
"edit_profile.text372","🩸 編輯血型","",""
"edit_profile.text373","🧠 重新測試 MBTI","",""
"edit_profile.back","↩️ 返回","",""
"edit_profile.text374","❌ 發生錯誤，請稍後再試。","",""
"edit_profile.text375","❌ 用戶不存在","",""
"edit_profile.text376","⚠️ 請先完成註冊流程","",""
"edit_profile.text377","男生","",""
"edit_profile.text378","女生","",""
"edit_profile.text379","任何人","",""
"edit_profile.text380","女生（默認）","",""
"edit_profile.text381","男生（默認）","",""
"edit_profile.text382","男","",""
"edit_profile.text383","女","",""
"edit_profile.text384","📝 編輯暱稱","",""
"edit_profile.text385","📖 編輯簡介","",""
"edit_profile.text386","🌍 編輯地區","",""
"edit_profile.text387","🏷️ 編輯興趣","",""
"edit_profile.text388","💝 匹配偏好","",""
"edit_profile.text389","🩸 編輯血型","",""
"edit_profile.text390","🧠 重新測試 MBTI","",""
"edit_profile.text391","❌ 發生錯誤","",""
"edit_profile.text392","📝 **編輯暱稱**

","",""
"edit_profile.text393","請輸入新的暱稱：

","",""
"edit_profile.text394","💡 提示：
","",""
"edit_profile.text395","• 最少 4 個字符，最多 36 個字符
","",""
"edit_profile.text396","• 顯示時最多 18 個字符
","",""
"edit_profile.text397","• 不能包含網址連結
","",""
"edit_profile.text398","• 避免廣告或不當內容

","",""
"edit_profile.text399","💡 輸入 /menu 可隨時返回主選單","",""
"edit_profile.text400","❌ 發生錯誤","",""
"edit_profile.text401","📖 **編輯個人簡介**

","",""
"edit_profile.text402","請輸入你的個人簡介：

","",""
"edit_profile.text403","💡 提示：
","",""
"edit_profile.text404","• 最多 200 個字符
","",""
"edit_profile.text405","• 介紹你的興趣、性格或想說的話
","",""
"edit_profile.text406","• 避免包含聯絡方式

","",""
"edit_profile.text407","💡 輸入 /menu 可隨時返回主選單","",""
"edit_profile.text408","❌ 發生錯誤","",""
"edit_profile.text409","🌍 **編輯地區**

","",""
"edit_profile.text410","請輸入你的地區：

","",""
"edit_profile.text411","💡 提示：
","",""
"edit_profile.text412","• 例如：台北、香港、東京
","",""
"edit_profile.text413","• 最多 50 個字符

","",""
"edit_profile.text414","💡 輸入 /menu 可隨時返回主選單","",""
"edit_profile.text415","❌ 發生錯誤","",""
"edit_profile.text416","❌ 用戶不存在。","",""
"edit_profile.text417","💝 **設置匹配偏好**

","",""
"edit_profile.text418","你想在丟漂流瓶時尋找什麼樣的對象？

","",""
"edit_profile.text419","💡 提示：
","",""
"edit_profile.text420","• 默認為異性（男生尋找女生，女生尋找男生）
","",""
"edit_profile.text421","• 你可以隨時修改此設置","",""
"edit_profile.text422","👨 男生","",""
"edit_profile.text423","👩 女生","",""
"edit_profile.text424","🌈 任何人都可以","",""
"edit_profile.text425","❌ 發生錯誤","",""
"edit_profile.text426","正在更新...","",""
"edit_profile.text427","男生","",""
"edit_profile.text428","女生","",""
"edit_profile.text429","任何人","",""
"edit_profile.text430","✏️ 繼續編輯資料","",""
"edit_profile.text431","🏠 返回主選單","",""
"edit_profile.text432","❌ 發生錯誤","",""
"edit_profile.text433","🏷️ **編輯興趣標籤**

","",""
"edit_profile.text434","請輸入你的興趣標籤（用逗號分隔）：

","",""
"edit_profile.text435","💡 提示：
","",""
"edit_profile.text436","• 例如：音樂, 電影, 旅行, 美食
","",""
"edit_profile.text437","• 最多 5 個標籤
","",""
"edit_profile.text438","• 每個標籤最多 20 個字符

","",""
"edit_profile.text439","💡 輸入 /menu 可隨時返回主選單","",""
"edit_profile.text440","❌ 發生錯誤","",""
"edit_profile.text441","❌ 發生錯誤","",""
"edit_profile.text442","✅ 血型已清除","",""
"edit_profile.text443","✏️ 繼續編輯資料","",""
"edit_profile.text444","🏠 返回主選單","",""
"edit_profile.text445","❌ 發生錯誤","",""
"edit_profile.text446","❌ 暱稱太短，至少需要 4 個字符。

請重新輸入或取消編輯：","",""
"edit_profile.text447","❌ 取消編輯","",""
"edit_profile.text448","❌ 暱稱太長，請輸入不超過 36 個字符的暱稱。

請重新輸入或取消編輯：","",""
"edit_profile.text449","❌ 取消編輯","",""
"edit_profile.text450","❌ 暱稱不能包含網址連結

","",""
"edit_profile.text451","💡 請輸入一個簡單的暱稱，不要包含 http:// 或 https:// 等連結。

","",""
"edit_profile.text452","請重新輸入或取消編輯：","",""
"edit_profile.text453","❌ 取消編輯","",""
"edit_profile.text454","❌ 發生錯誤，請稍後再試。","",""
"edit_profile.text455","男生","",""
"edit_profile.text456","女生","",""
"edit_profile.text457","任何人","",""
"edit_profile.text458","女生（默認）","",""
"edit_profile.text459","男生（默認）","",""
"edit_profile.text460","男","",""
"edit_profile.text461","女","",""
"edit_profile.text462","📝 編輯暱稱","",""
"edit_profile.text463","📖 編輯簡介","",""
"edit_profile.text464","🌍 編輯地區","",""
"edit_profile.text465","🏷️ 編輯興趣","",""
"edit_profile.text466","💝 匹配偏好","",""
"edit_profile.text467","🩸 編輯血型","",""
"edit_profile.text468","🧠 重新測試 MBTI","",""
"edit_profile.text469","🏠 返回主選單","",""
"edit_profile.text470","❌ 個人簡介太長，請輸入不超過 200 個字符。

請重新輸入或取消編輯：","",""
"edit_profile.text471","❌ 取消編輯","",""
"edit_profile.text472","❌ 個人簡介包含不允許的連結。

","",""
"edit_profile.text473","為了安全，只允許以下網域的連結：
","",""
"edit_profile.text474","請移除這些連結後重新輸入或取消編輯：","",""
"edit_profile.text475","❌ 取消編輯","",""
"edit_profile.text476","✏️ 繼續編輯資料","",""
"edit_profile.text477","🏠 返回主選單","",""
"edit_profile.text478","❌ 地區名稱太長，請輸入不超過 50 個字符。

請重新輸入或取消編輯：","",""
"edit_profile.text479","❌ 取消編輯","",""
"edit_profile.text480","✏️ 繼續編輯資料","",""
"edit_profile.text481","🏠 返回主選單","",""
"edit_profile.text482","❌ 最多只能設定 5 個興趣標籤。

請重新輸入或取消編輯：","",""
"edit_profile.text483","❌ 取消編輯","",""
"edit_profile.text484","❌ 每個標籤最多 20 個字符。

請重新輸入或取消編輯：","",""
"edit_profile.text485","❌ 取消編輯","",""
"edit_profile.text486","✏️ 繼續編輯資料","",""
"edit_profile.text487","🏠 返回主選單","",""
"help.text488","❌ 系統發生錯誤，請稍後再試。","",""
"help.text489","❌ 系統發生錯誤，請稍後再試。","",""
"history.text490","❌ 用戶不存在，請先使用 /start 註冊。","",""
"history.text491","❌ 請先完成註冊流程。

使用 /start 繼續註冊。","",""
"history.text492","❌ 發生錯誤，請稍後再試。","",""
"history.text493","💬 你還沒有任何對話記錄

","",""
"history.text494","快去丟瓶子認識新朋友吧！ /throw

","",""
"history.text495","🏠 返回主選單：/menu","",""
"history.text496","💬 **你的聊天記錄**

","",""
"history.text497","(無訊息)","",""
"history.text498","使用 /history 查看所有對話

","",""
"history.text499","🏠 返回主選單：/menu","",""
"history.text500","(尚無訊息)

","",""
"history.text501","你","",""
"history.text502","💬 繼續對話","",""
"history.text503","🏠 返回主選單","",""
"history.text504","剛剛","",""
"invite_activation.text505","新用戶","",""
"invite_activation.text506","免費","",""
"language_selection.back","⬅️ 返回 / Back","",""
"language_selection.text507","✍️ 自訂暱稱","",""
"maintenance.text508","❌ 使用方法錯誤

","",""
"maintenance.text509","**正確格式：**
","",""
"maintenance.text510","**示例：**
","",""
"maintenance.text511","❌ 時長必須是數字（分鐘）","",""
"maintenance.text512","❌ 啟用維護模式失敗。","",""
"maintenance.text513","✅ 系統維護已完成

","",""
"maintenance.text514","服務已恢復正常，感謝您的耐心等待！

","",""
"maintenance.text515","現在可以正常使用所有功能了。","",""
"maintenance.text516","❌ 關閉維護模式失敗。","",""
"maintenance.text517","❌ 無法獲取維護模式狀態","",""
"maintenance.text518","❌ 查詢維護模式狀態失敗。","",""
"mbti.text519","🧠 **MBTI 性格類型管理**

","",""
"mbti.text520","手動輸入","",""
"mbti.text521","測驗結果","",""
"mbti.text522","未知","",""
"mbti.text523","📝 重新進行測驗","",""
"mbti.text524","✍️ 手動輸入 MBTI","",""
"mbti.text525","↩️ 返回編輯資料","",""
"mbti.text526","📋 快速版（12 題）","",""
"mbti.text527","📚 完整版（36 題）","",""
"mbti.back","↩️ 返回","",""
"mbti.text528","❌ 系統發生錯誤","",""
"mbti.text529","✅ 開始快速版測驗","",""
"mbti.text530","❌ 系統發生錯誤","",""
"mbti.text531","✅ 開始完整版測驗","",""
"mbti.text532","❌ 系統發生錯誤","",""
"mbti.cancel","❌ 取消","",""
