namespace,key,zh-TW,zh-CN,en,ja,ko,th,vi,id,ms,tl,es,pt,fr,de,it,ru,ar,hi,bn,tr,pl,uk,nl,sv,no,da,fi,cs,el,he,fa,ur,sw,ro
admin,banUsageError,"❌ 使用方法錯誤

**正確格式：**
`/admin_ban <user_id> [hours|permanent]`

**示例：**
`/admin_ban 123456789` - 封禁 1 小時（默認）
`/admin_ban 123456789 24` - 封禁 24 小時
`/admin_ban 123456789 permanent` - 永久封禁","❌ 使用方法错误

**正确格式：**
`/admin_ban [hours|permanent]`

**示例：**
`/admin_ban 123456789` - 封禁 1 小时（默认）
`/admin_ban 123456789 24` - 封禁 24 小时
`/admin_ban 123456789 permanent` - 永久封禁","❌ Incorrect usage

**Correct format:**
`/admin_ban [hours|permanent]`

**Example:**
`/admin_ban 123456789` - Ban for 1 hour (default)
`/admin_ban 123456789 24` - Ban for 24 hours
`/admin_ban 123456789 permanent` - Permanent ban",,,,,,,,,,,,,,"❌ استخدام غير صحيح

**التنسيق الصحيح:**
`/admin_ban [hours|permanent]`

**مثال:**
`/admin_ban 123456789` - حظر لمدة ساعة واحدة (افتراضي)
`/admin_ban 123456789 24` - حظر لمدة 24 ساعة
`/admin_ban 123456789 permanent` - حظر دائم",,,,,,,,,,,,,,,,,
admin,banUserNotFound,❌ 用戶不存在。,❌ 用户不存在。,❌ User does not exist.,,,,,,,,,,,,,,❌ المستخدم غير موجود.,,,,,,,,,,,,,,,,,
admin,bansCurrentStatus,當前狀態: {status},当前状态: {status},Current Status: {status},,,,,,,,,,,,,,الحالة الحالية: {status},,,,,,,,,,,,,,,,,
admin,bansNickname,暱稱: {nickname},昵称: {nickname},Nickname: {nickname},,,,,,,,,,,,,,اللقب: {nickname},,,,,,,,,,,,,,,,,
admin,bansNoRecords,❌ 沒有找到封禁記錄。,❌ 没有找到封禁记录。,❌ No ban record found.,,,,,,,,,,,,,,❌ لم يتم العثور على سجلات الحظر.,,,,,,,,,,,,,,,,,
admin,bansRecordItem,"**封禁 #{id}**
• 時間: {time}
• 原因: {reason}
• 時長: {duration}
• 狀態: {status}","**封禁 #{id}**
• 时间: {time}
• 原因: {reason}
• 时长: {duration}
• 状态: {status}","**Ban #{id}**
• Time: {time}
• Reason: {reason}
• Duration: {duration}
• Status: {status}",,,,,,,,,,,,,,"**الحظر #{id}**
• الوقت: {time}
• السبب: {reason}
• المدة: {duration}
• الحالة: {status}",,,,,,,,,,,,,,,,,
admin,bansStatusActive,生效中,生效中,In Effect,,,,,,,,,,,,,,فعال,,,,,,,,,,,,,,,,,
admin,bansStatusBanned,已封禁,已封禁,Banned,,,,,,,,,,,,,,محظور,,,,,,,,,,,,,,,,,
admin,bansStatusInactive,已失效,已失效,Expired,,,,,,,,,,,,,,منتهي,,,,,,,,,,,,,,,,,
admin,bansStatusNormal,正常,正常,Normal,,,,,,,,,,,,,,عادي,,,,,,,,,,,,,,,,,
admin,bansTitle,📋 封禁記錄,📋 封禁记录,📋 Ban Record,,,,,,,,,,,,,,📋 سجل الحظر,,,,,,,,,,,,,,,,,
admin,bansTotalCount,封禁次數: {count},封禁次数: {count},Ban Count: {count},,,,,,,,,,,,,,عدد الحظرات: {count},,,,,,,,,,,,,,,,,
admin,bansUserHistory,📋 用戶封禁歷史,📋 用户封禁历史,📋 User Ban History,,,,,,,,,,,,,,📋 تاريخ حظر المستخدم,,,,,,,,,,,,,,,,,
admin,bansUserId,用戶 ID: `{userId}`,用户 ID: `{userId}`,User ID: `{userId}`,,,,,,,,,,,,,,معرف المستخدم: `{userId}`,,,,,,,,,,,,,,,,,
admin,cannotBanAdmin,❌ 無法封禁管理員帳號。,❌ 无法封禁管理员帐号。,❌ Cannot ban admin accounts.,,,,,,,,,,,,,,❌ لا يمكن حظر حسابات الإدارة.,,,,,,,,,,,,,,,,,
admin,error,❌ 發生錯誤，請稍後再試。,❌ 发生错误，请稍后再试。,"❌ An error occurred, please try again later.",,,,,,,,,,,,,,❌ حدث خطأ، يرجى المحاولة لاحقًا.,,,,,,,,,,,,,,,,,
admin,listFooter,"💡 使用 /admin_add 添加管理員
💡 使用 /admin_remove 移除管理員","💡 使用 /admin_add 添加管理员
💡 使用 /admin_remove 移除管理员","💡 Use /admin_add to add admin
💡 Use /admin_remove to remove admin",,,,,,,,,,,,,,"💡 استخدم /admin_add لإضافة مدير
💡 استخدم /admin_remove لإزالة مدير",,,,,,,,,,,,,,,,,
admin,listId,• ID: `{id}`,• ID: `{id}`,• ID: `{id}`,,,,,,,,,,,,,,• المعرف: `{id}`,,,,,,,,,,,,,,,,,
admin,listNickname,• 暱稱: {nickname},• 昵称: {nickname},• Nickname: {nickname},,,,,,,,,,,,,,• الاسم المستعار: {nickname},,,,,,,,,,,,,,,,,
admin,listNotRegistered,未註冊,未注册,Not Registered,,,,,,,,,,,,,,غير مسجل,,,,,,,,,,,,,,,,,
admin,listRoleAdmin,👮 普通管理員,👮 普通管理员,👮 Regular Admin,,,,,,,,,,,,,,👮 مدير عادي,,,,,,,,,,,,,,,,,
admin,listRoleSuperAdmin,🔱 超級管理員,🔱 超级管理员,🔱 Super Admin,,,,,,,,,,,,,,🔱 مدير فائق,,,,,,,,,,,,,,,,,
admin,listTitle,👥 **管理員列表**,👥 **管理员列表**,👥 **Admin List**,,,,,,,,,,,,,,👥 **قائمة المديرين**,,,,,,,,,,,,,,,,,
admin,listTotal,總數：{count} 位,总数：{count} 位,Total: {count},,,,,,,,,,,,,,الإجمالي: {count},,,,,,,,,,,,,,,,,
admin,listUsername,• 用戶名: @{username},• 用户名: @{username},• Username: @{username},,,,,,,,,,,,,,• اسم المستخدم: @{username},,,,,,,,,,,,,,,,,
admin,onlyAdmin,❌ 只有管理員可以使用此命令。,❌ 只有管理员可以使用此命令。,❌ Only admins can use this command.,,,,,,,,,,,,,,❌ يمكن فقط للمديرين استخدام هذا الأمر.,,,,,,,,,,,,,,,,,
admin,onlySuperAdmin,❌ 只有超級管理員可以使用此命令。,❌ 只有超级管理员可以使用此命令。,❌ Only super administrators can use this command.,,,,,,,,,,,,,,❌ فقط المشرفين الأعلى يمكنهم استخدام هذا الأمر.,,,,,,,,,,,,,,,,,
admin,rejectAlreadyReviewed,❌ 此申訴已經被審核過了。,❌ 此申诉已经被审核过了。,❌ This appeal has already been reviewed.,,,,,,,,,,,,,,❌ تم مراجعة هذا الاستئناف بالفعل.,,,,,,,,,,,,,,,,,
admin,rejectNotFound,❌ 找不到此申訴記錄。,❌ 找不到此申诉记录。,❌ Appeal record not found.,,,,,,,,,,,,,,❌ سجل الاستئناف غير موجود.,,,,,,,,,,,,,,,,,
admin,rejectSuccess,"✅ 已拒絕申訴

• 申訴 ID: #{id}
• 用戶: {nickname} (`{userId}`)
• 審核備註: {notes}

已通知用戶。","✅ 已拒绝申诉

• 申诉 ID: #{id}
• 用户: {nickname} (`{userId}`)
• 审核备注: {notes}

已通知用户。","✅ Appeal rejected

• Appeal ID: #{id}
• User: {nickname} (`{userId}`)
• Review notes: {notes}

User has been notified.",,,,,,,,,,,,,,"✅ تم رفض الاستئناف

• رقم الاستئناف: #{id}
• المستخدم: {nickname} (`{userId}`)
• ملاحظات المراجعة: {notes}

تم إبلاغ المستخدم.",,,,,,,,,,,,,,,,,
admin,rejectUsageError,"❌ 使用方法錯誤

**正確格式：**
`/admin_reject <appeal_id> [備註]`

**示例：**
`/admin_reject 1` - 拒絕申訴
`/admin_reject 1 確認違規行為屬實` - 拒絕並添加備註","❌ 使用方法错误

**正确格式：**
`/admin_reject [备注]`

**示例：**
`/admin_reject 1` - 拒绝申诉
`/admin_reject 1 确认违规行为属实` - 拒绝并添加备注","❌ Incorrect usage

**Correct format:**
`/admin_reject [notes]`

**Examples:**
`/admin_reject 1` - Reject appeal
`/admin_reject 1 Confirmed violation is accurate` - Reject and add notes",,,,,,,,,,,,,,"❌ استخدام غير صحيح

**الصيغة الصحيحة:**
`/admin_reject [notes]`

**مثال:**
`/admin_reject 1` - رفض الاستئناف
`/admin_reject 1 تأكيد أن الانتهاك صحيح` - رفض وإضافة ملاحظات",,,,,,,,,,,,,,,,,
admin,removeCannotRemoveSuperAdmin,❌ 無法移除超級管理員。,❌ 无法移除超级管理员。,❌ Unable to remove super administrator.,,,,,,,,,,,,,,❌ لا يمكن إزالة المشرف الأعلى.,,,,,,,,,,,,,,,,,
admin,removeInstructions,"⚠️ **注意**

此命令需要手動修改配置文件。

**步驟：**
1. 編輯 `wrangler.toml`
2. 找到 `ADMIN_USER_IDS` 變數
3. 移除用戶 ID：`{userId}`
4. 重新部署：`pnpm deploy:staging`

**用戶資訊：**
• ID: `{userId}`
• 暱稱: {nickname}
• 用戶名: @{username}

💡 或在 Cloudflare Dashboard 中修改環境變數","⚠️ **注意**

此命令需要手动修改配置文件。

**步骤：**
1. 编辑 `wrangler.toml`
2. 找到 `ADMIN_USER_IDS` 变数
3. 移除用户 ID：`{userId}`
4. 重新部署：`pnpm deploy:staging`

**用户资讯：**
• ID: `{userId}`
• 昵称: {nickname}
• 用户名: @{username}

💡 或在 Cloudflare Dashboard 中修改环境变数","⚠️ **Note**

This command requires manual modification of the configuration file.

**Steps:**
1. Edit `wrangler.toml`
2. Find the `ADMIN_USER_IDS` variable
3. Remove user ID: `{userId}`
4. Redeploy: `pnpm deploy:staging`

**User Information:**
• ID: `{userId}`
• Nickname: {nickname}
• Username: @{username}

💡 Alternatively, modify the environment variables in the Cloudflare Dashboard",,,,,,,,,,,,,,"⚠️ **ملاحظة**

هذا الأمر يتطلب تعديل يدوي لملف الإعدادات.

**الخطوات:**
1. تحرير `wrangler.toml`
2. العثور على المتغير `ADMIN_USER_IDS`
3. إزالة معرف المستخدم: `{userId}`
4. إعادة نشر: `pnpm deploy:staging`

**معلومات المستخدم:**
• المعرف: `{userId}`
• الاسم المستعار: {nickname}
• اسم المستخدم: @{username}

💡 بدلاً من ذلك، تعديل متغيرات البيئة في لوحة التحكم Cloudflare.",,,,,,,,,,,,,,,,,
admin,removeNotAdmin,❌ 此用戶不是管理員。,❌ 此用户不是管理员。,❌ This user is not an administrator.,,,,,,,,,,,,,,❌ هذا المستخدم ليس مشرفًا.,,,,,,,,,,,,,,,,,
admin,removeUsageError,"❌ 使用方法錯誤

**正確格式：**
`/admin_remove <user_id>`

**示例：**
`/admin_remove 123456789` - 移除普通管理員

💡 使用 /admin_list 查看當前管理員列表","❌ 使用方法错误

**正确格式：**
`/admin_remove `

**示例：**
`/admin_remove 123456789` - 移除普通管理员

💡 使用 /admin_list 查看当前管理员列表","❌ Incorrect usage

**Correct format:**
`/admin_remove `

**Examples:**
`/admin_remove 123456789` - Remove regular administrator

💡 Use /admin_list to view the current administrator list",,,,,,,,,,,,,,"❌ استخدام غير صحيح

**الصيغة الصحيحة:**
`/admin_remove `

**مثال:**
`/admin_remove 123456789` - إزالة المشرف العادي

💡 استخدم /admin_list لعرض قائمة المشرفين الحالية.",,,,,,,,,,,,,,,,,
admin,testRefreshCheck,請檢查對話歷史是否已更新為清晰頭像。,请检查对话历史是否已更新为清晰头像。,Please check if the chat history has been updated to a clear avatar.,,,,,,,,,,,,,,يرجى التحقق مما إذا كانت محفوظات الدردشة قد تم تحديثها مع صورة رمزية واضحة.,,,,,,,,,,,,,,,,,
admin,testRefreshComplete,✅ **刷新完成**,✅ **刷新完成**,✅ **Refresh complete**,,,,,,,,,,,,,,✅ **اكتمل التحديث**,,,,,,,,,,,,,,,,,
admin,testRefreshFailed,"❌ **刷新失敗**

錯誤：{error}","❌ **刷新失败**

错误：{error}","❌ **Refresh failed**

Error: {error}",,,,,,,,,,,,,,"❌ **فشل التحديث**

خطأ: {error}",,,,,,,,,,,,,,,,,
admin,testRefreshStart,🔄 開始刷新您的對話歷史...,🔄 开始刷新您的对话历史...,🔄 Starting to refresh your chat history...,,,,,,,,,,,,,,🔄 بدء تحديث محفوظات الدردشة الخاصة بك...,,,,,,,,,,,,,,,,,
admin,testRefreshStats,"• 更新：{updated} 個帖子
• 失敗：{failed} 個帖子","• 更新：{updated} 个帖子
• 失败：{failed} 个帖子","• Updated: {updated} posts
• Failed: {failed} posts",,,,,,,,,,,,,,"• تم تحديث: {updated} منشورات
• فشل: {failed} منشورات",,,,,,,,,,,,,,,,,
admin,unbanNotBanned,❌ 此用戶未被封禁。,❌ 此用户未被封禁。,❌ This user is not banned.,,,,,,,,,,,,,,❌ هذا المستخدم غير محظور.,,,,,,,,,,,,,,,,,
admin,unbanSuccess,"✅ 已解除封禁

• 用戶 ID: `{userId}`
• 暱稱: {nickname}

已發送解封通知給用戶。","✅ 已解除封禁

• 用户 ID: `{userId}`
• 昵称: {nickname}

已发送解封通知给用户。","✅ Unbanned

• User ID: `{userId}`
• Nickname: {nickname}

Unban notification has been sent to the user.",,,,,,,,,,,,,,"✅ تم إلغاء الحظر

• معرف المستخدم: `{userId}`
• الاسم المستعار: {nickname}

تم إرسال إشعار إلغاء الحظر إلى المستخدم.",,,,,,,,,,,,,,,,,
admin,unbanUsageError,"❌ 使用方法錯誤

**正確格式：**
`/admin_unban <user_id>`

**示例：**
`/admin_unban 123456789`","❌ 使用方法错误

**正确格式：**
`/admin_unban `

**示例：**
`/admin_unban 123456789`","❌ Incorrect usage

**Correct format:**
`/admin_unban `

**Examples:**
`/admin_unban 123456789`",,,,,,,,,,,,,,"❌ استخدام غير صحيح

**الصيغة الصحيحة:**
`/admin_unban `

**مثال:**
`/admin_unban 123456789`",,,,,,,,,,,,,,,,,
admin,unbanUserNotFound,❌ 用戶不存在。,❌ 用户不存在。,❌ User does not exist.,,,,,,,,,,,,,,❌ المستخدم غير موجود.,,,,,,,,,,,,,,,,,
adminRefreshVip,allLatest,所有 VIP 用戶的對話歷史都是最新的！,所有 VIP 用户的对话历史都是最新的！,All VIP users have the latest chat history!,,,,,,,,,,,,,,جميع المستخدمين المميزين لديهم محفوظات دردشة محدثة!,,,,,,,,,,,,,,,,,
adminRefreshVip,details,📝 **詳細結果：**,📝 **详细结果：**,📝 **Detailed results:**,,,,,,,,,,,,,,📝 **نتائج مفصلة:**,,,,,,,,,,,,,,,,,
adminRefreshVip,duration,⏱️ **耗時：** {{seconds}} 秒,⏱️ **耗时：** {{seconds}} 秒,⏱️ **Duration:** {{seconds}} seconds,,,,,,,,,,,,,,⏱️ **المدة:** {{seconds}} ثانية,,,,,,,,,,,,,,,,,
adminRefreshVip,error,"❌ **刷新失敗**

處理過程中發生錯誤，請查看日誌。

錯誤：{{error}}","❌ **刷新失败**

处理过程中发生错误，请查看日志。

错误：{{error}}","❌ **Refresh Failed**

An error occurred during the process, please check the logs.

Error: {{error}}",,,,,,,,,,,,,,"❌ **فشل التحديث**

حدث خطأ أثناء المعالجة، يرجى التحقق من السجلات.

الخطأ: {{error}}",,,,,,,,,,,,,,,,,
adminRefreshVip,failedPosts,• 失敗帖子：{{count}},• 失败帖子：{{count}},• Failed Posts: {{count}},,,,,,,,,,,,,,• المنشورات الفاشلة: {{count}},,,,,,,,,,,,,,,,,
adminRefreshVip,failedUsers,• 失敗：{{count}},• 失败：{{count}},• Failures: {{count}},,,,,,,,,,,,,,• الفشل: {{count}},,,,,,,,,,,,,,,,,
adminRefreshVip,noRefresh,✅ **無需刷新**,✅ **无需刷新**,✅ **No Refresh Needed**,,,,,,,,,,,,,,✅ **لا حاجة للتحديث**,,,,,,,,,,,,,,,,,
adminRefreshVip,posts,• 過時帖子：{{count}},• 过时帖子：{{count}},• Expired Posts: {{count}},,,,,,,,,,,,,,• المنشورات المنتهية: {{count}},,,,,,,,,,,,,,,,,
adminRefreshVip,processing,⏳ 正在處理，請稍候...,⏳ 正在处理，请稍候...,"⏳ Processing, please wait...",,,,,,,,,,,,,,⏳ جارٍ المعالجة، يرجى الانتظار...,,,,,,,,,,,,,,,,,
adminRefreshVip,refreshing,• 需要刷新：{{count}},• 需要刷新：{{count}},• Refresh Needed: {{count}},,,,,,,,,,,,,,• الحاجة للتحديث: {{count}},,,,,,,,,,,,,,,,,
adminRefreshVip,remaining,"
...還有 {{count}} 個用戶",...还有 {{count}} 个用户,...and {{count}} more users,,,,,,,,,,,,,,...و {{count}} مستخدمين آخرين,,,,,,,,,,,,,,,,,
adminRefreshVip,start,🔄 **開始批量刷新 VIP 頭像**,🔄 **开始批量刷新 VIP 头像**,🔄 **Start Bulk Refresh of VIP Avatars**,,,,,,,,,,,,,,🔄 **بدء تحديث دفعة من صور الحسابات VIP**,,,,,,,,,,,,,,,,,
adminRefreshVip,stats,📊 **統計：**,📊 **统计：**,📊 **Statistics:**,,,,,,,,,,,,,,📊 **الإحصائيات:**,,,,,,,,,,,,,,,,,
adminRefreshVip,success,✅ **批量刷新完成**,✅ **批量刷新完成**,✅ **Bulk Refresh Completed**,,,,,,,,,,,,,,✅ **تم الانتهاء من تحديث الدفعة**,,,,,,,,,,,,,,,,,
adminRefreshVip,successUsers,• 成功：{{count}},• 成功：{{count}},• Success: {{count}},,,,,,,,,,,,,,• النجاح: {{count}},,,,,,,,,,,,,,,,,
adminRefreshVip,summary,📊 **總結：**,📊 **总结：**,📊 **Summary:**,,,,,,,,,,,,,,📊 **الملخص:**,,,,,,,,,,,,,,,,,
adminRefreshVip,updatedPosts,• 更新帖子：{{count}},• 更新帖子：{{count}},• Updated Posts: {{count}},,,,,,,,,,,,,,• المنشورات المحدثة: {{count}},,,,,,,,,,,,,,,,,
adminRefreshVip,userResult,"• {{username}}: {{updated}} 更新, {{failed}} 失敗","• {{username}}: {{updated}} 更新, {{failed}} 失败","• {{username}}: {{updated}} updated, {{failed}} failed",,,,,,,,,,,,,,• {{username}}: {{updated}} محدث، {{failed}} فشل,,,,,,,,,,,,,,,,,
adminRefreshVip,users,• 總 VIP 用戶：{{count}},• 总 VIP 用户：{{count}},• Total VIP Users: {{count}},,,,,,,,,,,,,,• إجمالي المستخدمين VIP: {{count}},,,,,,,,,,,,,,,,,
appeal,alreadyExists,"⚠️ 你已經提交過申訴

申訴編號：#{appealId}
狀態：{status}
提交時間：{time}

請耐心等待審核結果。","⚠️ 你已经提交过申诉

申诉编号：#{appealId}
状态：{status}
提交时间：{time}

请耐心等待审核结果。","⚠️ You have already submitted an appeal

Appeal ID: #{appealId}
Status: {status}
Submission Time: {time}

Please be patient while awaiting the review results.",,,,,,,,,,,,,,"⚠️ لقد قمت بالفعل بتقديم استئناف

رقم الاستئناف: #{appealId}
الحالة: {status}
وقت التقديم: {time}

يرجى التحلي بالصبر للحصول على نتائج المراجعة.",,,,,,,,,,,,,,,,,
appeal,approved,"🎉 申訴已批准

經過審核，我們認為這確實是誤判。你的帳號限制已解除，可以正常使用所有功能了。

感謝你的理解和配合！","🎉 申诉已批准

经过审核，我们认为这确实是误判。你的帐号限制已解除，可以正常使用所有功能了。

感谢你的理解和配合！","🎉 Appeal Approved

After review, we believe this was indeed a misjudgment. Your account restrictions have been lifted, and you can use all functions normally now.

Thank you for your understanding and cooperation!",,,,,,,,,,,,,,"🎉 تم الموافقة على الاستئناف

بعد المراجعة، نحدد أن هذا كان تحكمًا خاطئًا. تم رفع قيود حسابك، ويمكنك استخدام جميع الميزات بشكل طبيعي.

شكرًا لتفهمك وتعاونك!",,,,,,,,,,,,,,,,,
appeal,noAppeal,"❌ 沒有找到申訴記錄

如果你的帳號被限制，可以使用 /appeal 提交申訴。","❌ 没有找到申诉记录

如果你的帐号被限制，可以使用 /appeal 提交申诉。","❌ No Appeal Record Found

If your account has been restricted, you can submit an appeal using /appeal.",,,,,,,,,,,,,,"❌ لم يُعثر على سجل الاستئناف

إذا تم تقييد حسابك، يمكنك تقديم استئناف باستخدام /appeal.",,,,,,,,,,,,,,,,,
